"","H","Fs","C"
"1",0.999696135539438,0.000460624407364214,0.000544053768763548
"2",0.999723161493562,0.000438877318697167,0.00049474830125372
"3",0.999783067137672,0.00031582292912157,0.000388523152634722
"4",0.999773914282394,0.000345376170189707,0.000405005279683791
"5",0.999827344576341,0.000227359716341075,0.000309116456668717
"6",0.999851903578816,0.000281563148258977,0.000264727950455111
"7",0.999829661814429,0.000346707337776783,0.000305151102926961
"8",0.999824334271368,0.000298836580010114,0.000314628834186655
"9",0.999818710467882,0.000293601580324583,0.000324246390957415
"10",0.999847442008932,0.000214205875061666,0.000272611386085704
"11",0.99984612221787,0.000360201260646666,0.00027552475041505
"12",0.999882150557154,0.000184768403147044,0.000210932737242664
"13",0.999886926529772,0.000188428311858471,0.000201783037127274
"14",0.999845553149717,0.00025000153894584,0.000275955582225637
"15",0.999799691947629,0.000241893156846062,0.000358379564368591
"16",0.999846736966728,0.000227878149481162,0.000274465387445303
"17",0.999797247603126,0.000399659878882795,0.000362832210282954
"18",0.999663546089302,0.000436587542666346,0.00060319245769481
"19",0.999770947332498,0.000282730536110482,0.00040982914532813
"20",0.999711953653686,0.000447919194295834,0.000514242268577342
"21",0.999810717165109,0.000274784452803985,0.000339029889003426
"22",0.999773329557218,0.000365835810897832,0.000406091341915435
"23",0.999846689719708,0.000208500034721529,0.000274426130456144
"24",0.999862234481905,0.000207484270852143,0.000246622571578543
"25",0.999859434558835,0.000184125535389743,0.000251817114098156
"26",0.999835853405118,0.000252633562540556,0.000293405606798251
"27",0.999852464354281,0.000212201342839708,0.000263919770578705
"28",0.999850077131729,0.000196967924404736,0.000268232481414516
"29",0.999898165775367,0.000142445953747341,0.000182104694945593
"30",0.999858271070264,0.000204008043325568,0.000253137475673106
"31",0.999757322496719,0.000369815284378464,0.000435086917755099
"32",0.999808034830431,0.000368758694330246,0.000343393102239427
"33",0.999770780655873,0.000359973979795404,0.00041102595090917
"34",0.999691484034034,0.000786674648417295,0.00055321207515207
"35",0.999672848983773,0.000482082002455421,0.000586112779150938
"36",0.999818942796821,0.000225762354460514,0.000323400766824394
"37",0.999842968656611,0.000243007390387712,0.000280874340843167
"38",0.99969944961171,0.000430944613514736,0.000537822282091761
"39",0.99952312353366,0.000648563874908831,0.000855370663332037
"40",0.999719030840381,0.000368340245526972,0.00050357012488714
"41",0.999900353241321,0.000218980236582245,0.000178424968060318
"42",0.999902376904052,0.000152670740954457,0.000174568110571358
"43",0.999885204407462,0.000192844628275852,0.000205559085174913
"44",0.999885519615123,0.000179311032775753,0.000205241465262582
"45",0.999926334783941,0.000120743124920297,0.000131735915935334
"46",0.999935811676379,9.8043488557941e-05,0.000115001866802187
"47",0.99990609262064,0.000138220816559749,0.000168187147912795
"48",0.999842963094694,0.0003213328671861,0.000281417865507844
"49",0.999942604983069,0.000111353065170257,0.000102739129981071
"50",0.959248792106812,0.0827499938975737,0.0755542643357502
"51",0.999891292826973,0.000140826370453627,0.000194490757361641
"52",0.999838869787762,0.000215201980954987,0.000287735024760125
"53",0.999905189380662,0.000146686769460521,0.000169767533855536
"54",0.999893100840649,0.000191712498872885,0.00019144034121643
"55",0.999781177124298,0.000264966586493089,0.000392306480670008
"56",0.999869016251277,0.000217327583755171,0.000234138751848921
"57",0.999239883302001,0.00134259478120999,0.00136478172949349
"58",0.999310963466659,0.00125276730415791,0.00123123118278058
"59",0.999168623786472,0.00131198389854525,0.00149370427674713
"60",0.977107626986907,0.046368584442737,0.0434830874894234
"61",0.999936089894248,8.90784055639347e-05,0.0001144821031872
"62",0.999919238926325,0.000160771328888722,0.000144445549187368
"63",0.999908356596174,0.000144007188934933,0.000163823827235971
"64",0.999905644951368,0.000168669390192891,0.000168620423646325
"65",0.999896763298473,0.000153767472245421,0.000185208380879458
"66",0.999938335151482,0.000109018747629116,0.000110388543264065
"67",0.999753527009477,0.000318537288248085,0.000440574858496353
"68",0.999804905583461,0.000381201562054734,0.000348415666983036
"69",0.999850604027309,0.000269296744991,0.000267210287372878
"70",0.999924917611289,0.000112619020088341,0.000134311179049369
"71",0.999916218988757,0.000156835945871568,0.000149912020520956
"72",0.999926382604224,0.000145520557305652,0.000131880074969239
"73",0.99993378107665,0.00014309969954688,0.000118487657261429
"74",0.99994831256172,0.000106206872910764,9.22448209647087e-05
"75",0.999812208059352,0.000310888674034372,0.000336387041768563
"76",0.99980847453911,0.000258316850292244,0.000342477138285321
"77",0.999891818370727,0.000235215856290998,0.000193420681572198
"78",0.99983067437319,0.00029749525783308,0.000303144580367811
"79",0.999845619765093,0.000179427553473597,0.000276290463590321
"80",0.999903093041183,0.000172031251566052,0.000173500715252731
"81",0.999744054045993,0.000356531974878119,0.000459080744929032
"82",0.99975261511725,0.000317970958080048,0.000443561405681192
"83",0.999584283628042,0.00048598609629676,0.000745265480113172
"84",0.999660465429505,0.000437487606025862,0.000608459439813789
"85",0.999645724560125,0.000449931152161892,0.000634306962199478
"86",0.999614798534045,0.000588093638840269,0.000689739181579113
"87",0.999717293009658,0.000519100886997376,0.000506364351127904
"88",0.999672414765919,0.000475323792441926,0.000586717140537909
"89",0.999753395481789,0.000317660743589813,0.000442076676373712
"90",0.999834729826282,0.000280467093810651,0.000295544120170149
"91",0.999868542214216,0.000235949338173202,0.000235641399029937
"92",0.999853220036792,0.000199385072766086,0.000262717883500024
"93",0.999744434610585,0.000411213890877601,0.000457077172647457
"94",0.999597129780374,0.000485731284744375,0.000721798866069439
"95",0.99970991555447,0.000420161604101542,0.000519634823219686
"96",0.999805532107502,0.000292387960498612,0.000347356000419178
"97",0.99983495034236,0.000266005420846584,0.000294858793670027
"98",0.999861338449291,0.000205494452397316,0.000248507199428455
"99",0.999853967305163,0.000264495746920602,0.00026101716014903
"100",0.999833001789164,0.00024111784141409,0.000298541272572376
"101",0.999831435495809,0.000282855484926101,0.000302479271908085
"102",0.99984479821461,0.000224832340082109,0.000277866850624029
"103",0.999869571794126,0.000195815314894867,0.000233363991394272
"104",0.999878716312433,0.000222860553588877,0.000216896007143051
"105",0.999758465555715,0.000347760432553321,0.000433835390440375
"106",0.999804771476244,0.000294872314778764,0.00034937284845698
"107",0.999849954850481,0.000290164705632271,0.000268580075017875
"108",0.999887632654528,0.000231281892878625,0.000201703896359781
"109",0.999852689665642,0.000183835179602441,0.000263643809125576
"110",0.999687939019222,0.000384014101473734,0.000558696658471656
"111",0.999691584751452,0.000426801642806459,0.000552581944753084
"112",0.999637871673678,0.000498735528364249,0.000647941190808493
"113",0.999827486659944,0.000325710552439788,0.000308610135927302
"114",0.999902976078152,0.000185944453622833,0.000173739229518261
"115",0.999886854085099,0.000172757297141754,0.000202067545584773
"116",0.999945801682761,0.00011878885364386,9.70458906283201e-05
"117",0.999911507911529,0.000179747765013647,0.000158510711686963
"118",0.999902960425634,0.000180001688361218,0.000173660247923139
"119",0.999874330826601,0.000234971694239813,0.000224970420851318
"120",0.999890737014786,0.000185970077676941,0.000195939443544701
"121",0.995582778520067,0.00863566975617547,0.00796681688741615
"122",0.994865256160906,0.00638706699753353,0.00923678210686105
"123",0.994221100344615,0.00894459028624352,0.0103363003396944
"124",0.986357286200395,0.0251527961776519,0.0245676069429011
"125",0.99464636645303,0.00808679201274915,0.00956088305908615
"126",0.995020368012662,0.0100200063625769,0.00901605087994715
"127",0.995383643348167,0.00779690223932797,0.00853646555696864
"128",0.989593033397287,0.0157121438264742,0.0185743956037447
"129",0.983950922910339,0.0309393920633767,0.0292310693628372
"130",0.991366653554473,0.0224730836976892,0.0158205596559653
"131",0.991129744192456,0.0125171300649277,0.0159438117901565
"132",0.994799907300918,0.00780919777476967,0.00928781566401048
"133",0.997410624242431,0.00381666109920723,0.00466813684999837
"134",0.992429048450053,0.0143189984789878,0.0137453076696718
"135",0.991903855043335,0.0157116388696511,0.0145605968632113
"136",0.98229529682472,0.03642161944905,0.0310453224245369
"137",0.994030187821932,0.00883971818259551,0.0105991441552087
"138",0.994399005048914,0.0128816504550457,0.0100629016231072
"139",0.991977713667568,0.0158086936104711,0.0143957524654222
"140",0.996907761780292,0.00570170559679015,0.00553337735272342
"141",0.993827760554647,0.0114553850916974,0.011034845153461
"142",0.974740012046542,0.0507447525277642,0.045224978161966
"143",0.997056538047935,0.00498940312556781,0.00528136699520328
"144",0.991167951225927,0.0181787862662738,0.0159517940863743
"145",0.996753135053875,0.00485388387773863,0.00586771292187397
"146",0.990226654518633,0.0220667054343708,0.0173648159450955
"147",0.993579594302393,0.0128161532935049,0.0117606156070468
"148",0.994461789829749,0.0106233609251693,0.00981782212302995
"149",0.996215700091123,0.0076407947049668,0.00681000742929627
"150",0.995977211240903,0.00696529397459293,0.00718467356125478
"151",0.98472146560444,0.04276011373972,0.0283444996715329
"152",0.995449425160288,0.00700259448813793,0.00829146264136925
"153",0.996374451135142,0.00555000287506829,0.00650069430320386
"154",0.965289473046095,0.0820470772235133,0.0646962213827521
"155",0.987537489139169,0.025125636721691,0.022489600808066
"156",0.992320157324469,0.0174657783303983,0.0136962263115153
"157",0.997242560818973,0.00582408345189816,0.00496723150882367
"158",0.931334560146165,0.157899978286043,0.121125618636776
"159",0.98578465259347,0.0365324775914327,0.0261189166019196
"160",0.983491134702247,0.0347281282640815,0.0291149419456948
