"","H","Fs","C"
"1",0.999589463090262,0.000591098644671357,0.000734630339326862
"2",0.999617331156658,0.000490745868151188,0.000684945795309628
"3",0.999615191088417,0.000703898610608256,0.000685359075598956
"4",0.999648089514933,0.000481171261871325,0.000629396166931954
"5",0.999597931660285,0.000685873548957545,0.000718364875519744
"6",0.999768038688094,0.000344110738263079,0.000414794718041753
"7",0.999650952195652,0.000784776374991238,0.000621168882749619
"8",0.99967277715071,0.000569442403249065,0.000585729298084423
"9",0.999752427081878,0.000362673081466319,0.000442537593854148
"10",0.999749865942135,0.000403791348287978,0.000446764760112435
"11",0.999686098288808,0.000718067076995404,0.000560927284159299
"12",0.999841782801776,0.000351277433757752,0.000283267000438136
"13",0.999747492783853,0.000323202293535748,0.000451927594386511
"14",0.999788081614793,0.000376937178740103,0.000379625849966374
"15",0.999731888979877,0.000509567624926012,0.00048036609150307
"16",0.999822751875467,0.000238739045430923,0.000317318594930936
"17",0.999631234793215,0.000647663055536129,0.000656597452611122
"18",0.999591218751497,0.000718685553064145,0.000732147205920799
"19",0.999430261142822,0.000730220856486364,0.00101775715226101
"20",0.999436379138479,0.000764389085882838,0.00100660883947846
"21",0.999673161138484,0.000589011579526558,0.000585309167858153
"22",0.999738058515332,0.000402483640299413,0.00046799207600685
"23",0.999761857428823,0.00039250970112972,0.000426081460805261
"24",0.999779321347313,0.000441441529597072,0.000394926531216487
"25",0.99976799618018,0.000282413137945942,0.000415107461446522
"26",0.999823530044821,0.000263121542554758,0.000315291357549143
"27",0.999726118548743,0.000403384049425798,0.0004907578213584
"28",0.999794977229863,0.000513568695136201,0.000367037072562483
"29",0.999824562242963,0.000379248804662612,0.00031380988993111
"30",0.999813681682692,0.000303984065112093,0.00033333896949175
"31",0.999639145925679,0.000632221397649106,0.000642360623521388
"32",0.999523767480123,0.000955875283928082,0.000851906790100584
"33",0.999488869413672,0.000876817092947369,0.000913664050244759
"34",0.999410740379835,0.00089732440994801,0.00105653263916284
"35",0.999398034032503,0.00117764856711888,0.00107276218998168
"36",0.99961165001911,0.000795452650093774,0.000694150183143556
"37",0.999733251288819,0.00053817545387266,0.000476217721866268
"38",0.998867023890104,0.000996445889580359,0.00204973233200905
"39",0.999025158756558,0.00204571217869792,0.00174039636996387
"40",0.999531533225972,0.000609413530807656,0.000840399243802412
"41",0.999819974255985,0.000261449867254314,0.000322716968471924
"42",0.999780494449942,0.00033981199002049,0.00039236455631885
"43",0.999723102090759,0.000369013068037629,0.000496389509733027
"44",0.999804071248096,0.00039517245000159,0.000350194710389006
"45",0.999842339851499,0.000271178574923989,0.000282279150443861
"46",0.999810753264014,0.00024502536585674,0.000338924700794728
"47",0.999799953536477,0.000410135926112773,0.000357780498848908
"48",0.999725366045333,0.000412332433721781,0.000492459503155771
"49",0.99989012707336,0.000200995493106596,0.000196782827878334
"50",0.92135454142441,0.115559657241304,0.139889752902006
"51",0.999719852280868,0.000628091100368078,0.000501103885262182
"52",0.999511076082887,0.000836895957807353,0.000876050819509646
"53",0.999777818635083,0.000294849762506587,0.000397972675579259
"54",0.999760804834801,0.00035959282357177,0.000428993637420315
"55",0.999424418204545,0.000950891982916299,0.00103277977201268
"56",0.999571023991663,0.000573132507256238,0.000771611993041326
"57",0.997252586079245,0.00547636647730683,0.00495942188730218
"58",0.996747276193542,0.00405175243230601,0.00589720148794608
"59",0.996143953715405,0.00520750709127501,0.00701241158913493
"60",0.964353816504709,0.051368321453,0.0670188732543994
"61",0.999851806977148,0.000225756892611503,0.000265076180650268
"62",0.999897279698592,0.000264470199889169,0.000183642288942911
"63",0.999885028121578,0.000172152413839438,0.000205461032764565
"64",0.999858342598207,0.00027183821639456,0.000253729039059082
"65",0.999885369633713,0.000196518668422754,0.000204727154942223
"66",0.999877696668516,0.000205387780488762,0.000218903642970791
"67",0.999487262550621,0.000853416653506464,0.000917367864920028
"68",0.999619922802147,0.0006947342262565,0.000682239933373953
"69",0.999656717234811,0.000414657304897291,0.00061588833701587
"70",0.99986881889167,0.00026732969097554,0.000234429418137137
"71",0.999791351907163,0.000336205341702647,0.000373709095726521
"72",0.999902192039012,0.000171401843834003,0.000174931905628042
"73",0.999874277167939,0.000230349422160952,0.000224864385182111
"74",0.999885781307527,0.000252863498088517,0.000204347172677041
"75",0.99966045598369,0.000386873135573446,0.00060756217186245
"76",0.999511188080599,0.000777795896779506,0.000876120161170409
"77",0.999841526062432,0.000279011243701741,0.000283793448815466
"78",0.999636816331784,0.000515651822816887,0.00065123959148676
"79",0.999663496399791,0.00056740808055695,0.00060220151179558
"80",0.99977990826468,0.000386823509976435,0.000394159398609817
"81",0.99962157997188,0.000752844072496179,0.00067716700527872
"82",0.999604107890033,0.000417238720254481,0.000708143543804543
"83",0.999267825729928,0.00106914899311788,0.00131064964839216
"84",0.999133859895846,0.0015594182093655,0.0015508702298583
"85",0.999085192504775,0.00114884643440471,0.00164344339135104
"86",0.998963769042876,0.00109210967980783,0.00187246649831953
"87",0.999307040042943,0.00121456605584333,0.00124278364908216
"88",0.999392294365505,0.000905273079737886,0.0010899870129722
"89",0.99943102978554,0.000795922821407326,0.00102124855856498
"90",0.999601076387246,0.000543124459933921,0.000713571092354991
"91",0.999822456313758,0.000301620663094589,0.000317494314720068
"92",0.999718796817055,0.000281839490849187,0.000504150312328841
"93",0.999636338473181,0.000630425946708635,0.000651530709328931
"94",0.998948032637063,0.00122725765062643,0.00188973547044677
"95",0.999421672043615,0.000827770704059338,0.00103563182298312
"96",0.999659951151468,0.000598221239649234,0.00060727030525992
"97",0.999519239313335,0.0007602232601318,0.000858776824211927
"98",0.999718865984105,0.00043631004233261,0.000502339409035959
"99",0.99976031436892,0.000521121661381573,0.000428114872552027
"100",0.999703224433981,0.000632309470770697,0.000530989575692503
"101",0.999681420452558,0.000458500472987356,0.000570242410929778
"102",0.99970747010943,0.000618634088604066,0.000524285989865341
"103",0.999742789814312,0.000336331217933254,0.000461368449017079
"104",0.999758074853914,0.00047517311935124,0.000431603551293259
"105",0.999521998796734,0.00056019166026678,0.000856555274038038
"106",0.999740977604298,0.000481291103387662,0.000463042348827949
"107",0.999790423092248,0.000337505971092537,0.000374589703580755
"108",0.999804337336823,0.000359862945497851,0.000349676298726914
"109",0.99972661545474,0.000413790333843182,0.000490479014658415
"110",0.999645434590643,0.000510795405480677,0.000634162340353112
