"H","C","N","D"
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
0.595297362079895,0.580814984391694,5000,6
